RA	DEC	MAG
91.89300774	14.76852318	4.36
91.89954961	10.45632193	6.86
91.92345906	-19.16600403	5.37
91.94579595	-44.72938592	6.84
91.97028171	-42.15400130	5.51
92.09639645	41.05584589	6.51
92.10577945	-11.14625666	6.83
92.12652337	13.97106622	6.89
92.14431962	-44.35622833	6.21
92.18476724	-68.84345717	5.03
92.19040709	-7.93631304	6.72
92.19596249	8.66945788	6.53
92.19883451	-6.82139251	6.62
92.24111381	-22.42728352	5.49
92.24126844	2.49972675	5.73
92.24867494	2.49642266	6.93
92.27828477	-8.30157730	6.79
92.28020526	7.51353256	6.79
92.33414900	-18.12633349	6.36
92.34764312	-49.56301376	6.59
92.38517315	22.19027415	6.05
92.39389063	-14.58469045	5.73
92.40089482	-5.71143334	6.24
92.43327240	23.11346966	5.80
92.44648871	-26.70111783	6.43
92.44961008	-22.77449062	5.81
92.45474257	2.86962287	6.74
92.49581101	58.93564864	5.52
92.54341638	-40.35396993	5.59
92.55918047	-74.75252790	5.22
92.56928282	-15.05942431	6.88
92.57463800	-54.96866057	4.64
92.59912042	2.90187078	6.83
92.61047229	-77.10563282	6.85
92.62473770	22.99787983	6.86
92.63300343	-34.81686102	6.80
92.64452684	-27.15420421	5.88
92.66636995	-45.28200681	6.29
92.69733686	13.65947301	6.94
92.75506934	-6.75419311	6.17
92.75737574	18.13047056	6.54
92.80680923	60.45352679	6.55
92.80690013	-26.48211370	6.08
92.81256272	-65.58970507	5.08
92.81594385	47.90683954	6.91
92.84063110	-15.79301604	6.85
92.84658437	20.90542087	6.89
92.86630447	13.63860428	6.05
92.88460504	24.42037914	6.00
92.90241065	48.71112468	5.83
92.92962305	-18.18613020	6.77
92.93216682	-4.66543156	6.16
92.94129224	52.64736426	6.33
92.96422435	21.86824073	6.78
92.96590078	-6.55028276	4.99
92.98498656	14.20881425	4.40
93.00187959	6.78369045	6.99
93.00557898	19.79057155	5.75
93.01365054	16.13044684	4.91
93.04667717	-65.53151686	6.96
93.07957899	22.90851943	6.33
93.08387494	32.69338941	5.86
93.12150074	-36.56375352	6.83
93.13416592	-61.47407691	6.58
93.18587167	-2.50481180	6.65
93.19304708	-17.76324081	6.46
93.21271986	65.71849922	5.52
93.23127306	-8.72904344	6.89
93.24749691	10.28743069	6.58
93.24819350	6.01628978	6.52
93.30190191	10.62786588	6.56
93.37706181	37.15913399	6.78
93.38853276	18.68038550	6.56
93.38953151	-29.39574581	6.49
93.41852711	-56.91832291	6.94
93.42403394	-51.66746476	6.88
93.43885743	-23.86220749	6.50
93.43893097	51.17262369	6.24
93.47601857	-3.74142288	5.99
93.48794708	-7.24808216	6.79
93.50209075	33.24429633	6.70
93.61910415	17.90637842	5.94
93.62627178	-29.60429193	6.98
93.65294439	-4.56846315	5.77
93.67475595	-73.62656481	6.59
93.68036500	16.03704267	6.82
93.71223277	19.15688949	5.30
93.71390194	-6.27472737	4.15
93.71956952	22.50682376	3.29
93.77519937	-71.70289813	6.74
93.78500463	-20.27226037	6.03
93.78523916	13.85107261	5.83
93.82379533	-18.47701325	6.15
93.84473576	29.49871224	4.49
93.84857205	-11.90447627	6.65
93.85469568	16.14320591	5.31
93.85898495	-9.03575110	6.07
93.87358260	-4.91463574	6.03
93.87602423	3.95820413	6.98
93.89315534	-0.51165873	5.73
93.91273142	36.14868102	6.96
93.91740586	6.06620795	6.03
93.91878235	59.99903422	5.52
93.92233379	18.29750308	6.73
93.93699498	-13.71838696	4.98
93.93735931	12.55107067	5.49
93.94590033	4.28364625	6.57
93.97490252	1.16900467	6.46
93.98819485	-29.78843376	6.79
94.01662991	59.21510140	6.76
94.03206851	-16.61800865	5.91
94.07848864	-59.21273358	6.56
94.07939387	23.97004771	6.24
94.08578842	30.10253736	6.91
94.08781454	1.08035555	6.61
94.09913445	17.18163062	6.51
94.11070845	12.27171030	5.14
94.13806399	-35.14073157	4.54
94.14833028	-39.26434877	6.06
94.17346899	-12.04718548	6.85
94.24352085	7.05258385	6.52
94.24460603	23.74091563	6.37
94.25512509	-37.73764950	5.71
94.26466059	-22.71460054	6.18
94.27756971	9.94253598	5.43
94.28988535	-37.25344284	5.93
94.30330350	-24.07450950	6.89
94.31770235	5.09969578	5.83
94.38880311	14.05868430	6.58
94.39038216	35.14909924	6.78
94.39451401	46.42392575	6.60
94.39637039	-10.72499517	6.84
94.42388578	-16.81591325	5.32
94.43429638	-19.18870791	6.68
94.43741858	39.47388559	6.81
94.46557314	-52.73303375	6.53
94.47222712	-4.38259449	6.81
94.47846658	61.51529221	5.00
94.52310436	-53.55917269	6.92
94.52337933	14.38284850	6.14
94.53518877	-6.72546865	6.95
94.55721559	-19.96699189	5.45
94.57022944	46.36076039	6.50
94.57258645	-5.65433077	6.85
94.58660196	27.21031345	6.82
94.65734183	29.78152955	6.88
94.66813687	9.04728472	6.39
94.70329320	-15.02499416	6.13
94.71075178	-9.38996323	5.53
94.71158258	69.32003430	4.78
94.72441812	35.20803939	6.78
94.72677881	23.60329943	6.74
94.74573891	-20.92562047	5.73
94.75769794	17.32527063	6.25
94.77008184	47.39411450	6.95
94.77612739	12.74674160	6.69
94.78309489	-8.58601705	6.22
94.83039901	23.46940924	6.98
94.89931645	69.56917215	6.84
94.90579498	59.01090518	4.46
94.90913958	-22.10314387	6.42
94.91742934	16.01328387	6.74
94.92063879	-34.39659537	5.74
94.92833719	-7.82291023	5.20
94.94977773	-39.48647603	6.77
94.98905418	-13.99302762	6.68
94.99835160	-2.94449028	5.00
95.01761580	14.65116899	5.77
95.02469907	-48.74044338	6.74
95.07139594	7.71886255	6.75
95.07827982	-30.06337656	2.95
95.11231671	-49.10431625	6.97
95.14654493	-23.63780374	6.66
95.15099685	-34.14419295	5.48
95.16688531	-9.89099558	6.94
95.17526141	72.14599586	6.73
95.21022289	-4.59537747	6.82
95.21715989	11.75623099	6.51
95.27262116	-11.81732932	6.43
95.29963245	29.54092745	6.43
95.32455360	42.34037708	6.81
95.35299081	-11.77324372	5.54
95.35741582	2.26858774	6.36
95.35797171	17.76360611	6.48
95.41977059	-56.36229082	6.84
95.43736813	12.86195604	6.85
95.44211705	53.45239515	5.44
95.45853449	-51.23771911	6.81
95.51482583	59.37209783	6.10
95.52560982	-15.66331777	6.68
95.52852147	-33.43627251	3.99
95.59668067	-45.96036359	6.81
95.62897591	-60.21880842	6.65
95.65176776	12.57031541	6.08
95.65929247	-69.98412773	5.68
95.67494750	-17.95591658	1.89
95.68157840	-2.19533937	6.86
95.68853665	4.21042253	6.93
95.70677331	17.57411458	6.94
95.72993162	-45.62893190	6.90
95.73278618	-56.36992070	5.67
95.73996302	22.51385027	2.91
95.75612646	-3.27698260	6.51
95.75615393	-63.68317619	6.38
95.77654113	56.97652534	6.64
95.80436088	-34.99682001	6.52
95.81043243	-31.79031451	6.47
95.82704150	3.76451254	6.36
95.84496841	-4.68746859	6.69
95.89966506	-9.87473901	6.20
95.91170519	40.52139084	6.98
95.92818464	-16.46721271	6.65
95.93854167	-37.01460328	6.87
95.94207368	4.59283881	4.46
95.94226257	-15.07126137	6.39
95.94373665	4.59586651	6.92
95.94548524	-58.54393301	6.51
95.94857097	-19.78541168	6.56
95.98297443	-25.57752992	5.73
95.98787763	-52.69571799	-0.55
96.00424570	-36.70789674	5.79
96.00954036	8.88503625	6.23
96.04313846	-11.53000982	5.37
96.05445584	-26.44502472	6.84
96.05783068	-60.28139797	5.79
96.08575250	-12.96194840	6.10
96.10171459	-42.84940778	6.81
96.11071103	-63.42864724	6.59
96.14140212	-1.41820306	6.68
96.16232361	35.25510163	6.73
96.18227627	25.04871782	6.52
96.18328956	-28.77981914	6.50
96.18541147	-40.28397042	6.29
96.21980820	29.70709412	6.69
96.21981547	16.05723053	6.51
96.22459158	49.28789903	5.01
96.23252208	-63.82817363	6.22
96.30416365	7.08571682	6.29
96.31836214	-0.94535265	6.00
96.32702656	1.50152430	6.66
96.36739843	14.72200346	6.33
96.36937934	-69.69078672	5.54
96.37502195	-35.06404110	6.41
96.38578362	23.44216777	6.80
96.38725983	23.32720900	6.07
96.39484185	-2.99144623	6.59
96.41866049	-29.70297256	6.89
96.42530737	14.09269603	6.98
96.42805341	21.64505491	6.69
96.43189775	-48.17684903	5.75
96.44387100	2.27172012	6.51
96.44641262	-3.88902523	6.50
96.46414245	0.81273992	6.77
96.46804172	11.12590779	6.43
96.49230327	58.60323104	6.96
96.49511860	-7.89497456	6.46
96.54001992	-3.51584922	6.58
96.54301206	18.75730314	6.93
96.60483225	-0.77674087	6.80
96.60776525	56.28504370	5.60
96.64352725	-4.59739332	6.11
96.65722547	15.52370180	6.87
96.66333841	13.10142119	6.73
96.66496281	-1.50726444	5.90
96.67773299	-14.60340061	6.48
96.68687170	-7.51190723	6.33
96.70366348	58.41741346	5.34
96.74511089	0.84104075	6.72
96.75365905	-4.35564885	6.45
96.76723213	-58.00210529	5.99
96.78160751	-37.89561574	6.57
96.79782098	-25.85597162	6.17
96.80733207	0.29926632	5.37
96.81496020	-0.27598684	5.71
96.81573961	14.88922749	6.61
96.83531772	2.90825624	5.71
96.86638542	5.17542697	6.80
96.89798668	32.56311006	6.60
96.94409771	20.78961921	6.68
96.95256406	-62.14998693	6.65
96.96239721	47.40491842	6.54
96.98620696	20.49628855	6.24
96.98988336	-4.76214677	4.99
97.04257272	-32.58012947	4.42
97.06035770	70.53529114	6.07
97.06102120	-77.29093524	6.96
97.06987797	1.91271649	6.46
97.07832159	10.30399931	6.33
97.11712064	16.23850447	6.40
97.14203636	30.49306993	5.90
97.15587229	-17.46603282	5.93
97.15924610	-0.72108177	6.91
97.16351878	-32.37129738	5.67
97.17664773	-41.07491108	6.41
97.19609935	-0.57240664	6.67
97.20447548	-7.03305042	3.79
97.21815993	0.12796928	6.55
97.23470629	26.96764519	6.69
97.24079361	20.21216720	4.10
97.25069348	11.01924211	6.67
97.31172004	2.64629152	6.26
97.35648556	-22.59112369	6.82
97.36891553	-56.85284448	5.37
97.45469519	-50.23895882	5.31
97.48034026	-59.59067571	6.89
97.50955908	7.92111903	6.81
97.51241701	46.68553561	6.02
97.51253886	-65.56838774	6.36
97.52332845	9.02971927	6.62
97.54700158	-10.08150589	6.07
97.54922429	-19.21483605	6.53
97.59170762	28.21213046	6.91
97.59401291	60.14649955	6.83
97.60526503	41.40172153	6.70
97.62411952	-14.95436772	6.76
97.63723923	5.86700418	6.77
97.63834775	-12.08105558	6.74
97.64536676	-13.14817605	6.11
97.66950673	-40.44815667	6.65
97.69288857	-27.76958910	5.87
97.69642228	58.16345682	6.02
97.74958026	-40.91627990	6.34
97.76291694	39.75469053	6.67
97.76896928	-43.71713799	6.85
97.78983509	11.25138166	6.13
0.00000000	0.00000000	6.34
97.79437640	-61.87957075	6.10
97.80457202	-35.25886111	5.97
97.82591372	-51.82620719	5.70
97.84591544	-12.39190922	5.33
97.85002981	-32.86856538	6.35
97.85099209	-12.55968565	6.74
97.87289322	-21.40560430	6.65
97.88159574	37.17802208	6.80
97.89561314	-36.94019636	6.30
97.90599352	15.90353353	6.45
97.91410314	11.79229200	6.61
97.95120180	11.54434340	5.28
97.95861449	-8.15818115	5.59
97.96403433	-23.41843727	4.26
97.98133765	4.94285712	6.79
97.98190845	-18.06228241	6.72
97.99296524	-58.75384073	5.68
98.02976030	6.03565323	6.70
98.07717921	17.78428626	6.41
98.08010878	4.85599529	6.02
98.08888798	-37.69651376	5.41
98.09637360	-5.86871833	5.67
98.09697283	11.67360561	6.24
98.11334517	32.45494059	5.88
98.16241008	-32.03045378	5.66
98.16759003	35.29376316	6.96
98.19534629	-11.16639661	6.46
98.22595658	7.33297921	4.50
98.26671689	78.97956790	6.77
98.27577072	1.27333111	6.98
98.29266641	-38.62514452	6.60
98.35963588	-52.32931746	6.35
98.36118059	-20.92389414	6.54
98.40072046	14.15537477	5.73
98.40800314	-1.22011054	5.05
98.42771283	33.02403655	6.56
98.45621385	-36.23226731	5.57
98.49007451	52.46160182	6.99
98.51056148	-77.68755771	6.77
98.53379288	-29.62951899	6.89
98.53507622	2.89857425	6.98
98.58069943	38.07602228	6.83
98.59026776	-3.07410498	6.74
98.63665152	55.35302921	6.56
98.64720407	-32.71626113	5.60
98.64838573	4.96803126	6.78
98.68067788	-34.00948697	6.75
98.69303336	7.57249971	6.45
98.72366782	16.20580284	6.77
98.74411397	-52.97563454	4.37
98.76408302	-22.96483318	4.53
98.80025751	28.02234399	5.27
98.81595606	0.89022204	5.80
98.82331871	9.98835403	6.05
98.85093436	-36.77993005	5.55
98.87838592	-22.10900153	6.49
98.97530182	-36.08845467	6.47
99.00044307	4.49804766	6.54
99.00882878	16.79709636	6.83
99.00944631	56.38620747	6.65
99.06248972	58.10726180	6.72
99.09524032	-18.65994454	5.87
99.10003157	59.66451404	6.88
99.10787109	6.08318783	6.85
99.11651837	-31.88690966	6.95
99.13682373	38.44555210	5.35
99.14720939	-5.21110831	5.49
99.17082883	-19.25570928	4.12
99.17112193	-22.61475069	6.31
99.17647463	23.09805062	6.98
99.19416835	-13.32097688	6.08
99.21364301	-41.55715503	6.53
99.25787432	-38.14661562	6.19
99.30767433	-36.99068388	5.68
99.33323752	-43.45131610	6.82
99.35017866	6.13538051	6.07
99.36371266	24.59084471	6.51
99.39143708	12.18124820	6.98
99.40382259	10.85337292	6.53
99.40999549	56.85750718	5.88
99.41812228	2.70427865	6.34
99.41994734	-12.98481239	6.27
99.42350092	61.48190031	6.10
99.42792641	16.39941482	1.93
99.44029869	-43.19592394	3.14
99.44809882	-32.33989066	5.42
99.46860660	23.60445296	6.81
99.46960090	4.95666675	6.20
99.47260802	-18.23745713	4.60
99.48017707	73.69562922	6.35
99.50176847	-61.53356388	6.28
99.57876090	24.45051453	6.83
99.58331755	57.19175249	6.89
99.58526906	-2.54391246	6.27
99.59545789	-23.58030165	6.62
99.59591342	28.98439129	5.77
99.59594423	-52.93212768	6.86
99.64763095	-16.87348646	6.03
99.65680209	-48.22023129	5.21
99.65911442	1.61352424	6.27
99.66480928	39.39111530	5.85
99.66981785	41.58149494	6.89
99.69969717	6.90188322	6.94
99.70494411	39.90258791	5.32
99.70586402	4.70060964	6.54
99.77204904	22.03093990	6.25
99.81965168	-14.14574673	4.98
99.83261264	42.48901214	4.96
99.88112691	24.59994297	6.55
99.88801566	28.26315774	6.00
99.90092445	-23.69564336	6.05
99.92777365	-30.47002424	5.87
99.94885571	12.98280259	6.01
99.98697222	-38.15891339	6.76
99.99111506	44.01410409	6.51
100.01211946	-80.81372235	5.67
100.05371550	44.33290142	6.92
100.06919219	79.59947697	6.77
100.07857811	-6.34630258	6.95
100.08877067	40.96970638	6.93
100.12015519	77.99579710	5.88
100.13080485	61.92248382	6.63
100.13311612	6.37125090	6.46
100.13434964	71.74875988	6.04
100.19772437	-47.62154519	6.61
100.20610976	-47.67466151	6.79
100.23878317	-12.18225682	6.94
100.23984360	-71.77509320	6.66
100.24442101	9.89576021	4.56
100.25772616	-7.57263378	6.95
100.27268782	0.49533540	5.76
100.28923459	8.98477101	6.67
100.30905681	-40.34987312	6.11
100.32173864	11.00317922	6.26
100.33707287	28.19664431	6.61
100.34143469	16.39766033	6.28
100.34343599	-7.16871797	6.93
100.40737405	35.93199076	6.59
100.46090944	14.21674130	6.82
100.48485939	-9.16742468	5.32
100.49679354	6.34541897	6.34
100.49875180	-16.00722009	6.92
100.53047650	-6.11426992	6.99
100.56829883	-38.39879925	6.36
100.57140294	7.39784444	6.96
100.60134402	17.64551421	5.25
100.60656973	-67.84319035	6.71
100.68076977	-32.71277178	6.83
100.68764428	32.55888351	6.88
100.69199298	-22.44883550	6.33
100.69786382	-4.14088297	6.68
100.70351624	-50.45181158	6.97
100.77086794	44.52452351	5.17
100.77753650	3.03382319	6.34
100.80718325	37.14743034	6.38
100.84731179	-39.19308157	6.37
100.90305337	-73.11796953	6.52
100.91102453	3.93253483	5.87
100.97316683	-25.53497131	6.87
100.98304088	25.13115531	3.19
100.99705857	13.22814319	4.66
101.02173705	62.96303748	6.75
101.04086117	-54.73075995	6.67
101.04781966	53.29642733	6.45
101.05216634	36.10925853	6.40
101.05336472	-54.69552342	6.44
101.07247595	40.62331775	6.88
101.10274661	56.93306955	6.97
101.10584895	3.14157742	6.98
101.11862078	-31.07053787	5.18
101.12624588	82.11546495	6.68
101.18943633	28.97098912	5.56
101.19415053	44.50554219	6.81
101.21648345	-27.34238072	6.55
101.23197446	-70.43377284	6.26
101.23482869	22.83738214	6.82
101.26067592	-30.58641496	6.49
101.28854105	-16.71314306	-1.09
101.32263980	12.89605513	3.44
101.34616795	-31.79292174	6.03
101.34740523	-23.46248865	6.21
101.35855546	-52.20093117	6.73
101.36046517	9.76581272	6.73
101.37996161	-30.94899076	5.58
101.39624738	27.67324853	6.85
101.45857145	-0.71644883	6.78
101.47383863	-52.40971351	5.94
101.47583193	12.69356775	6.55
101.49750507	-14.79608441	5.33
101.51344372	-39.54027540	6.58
101.54323962	23.37111507	6.65
101.54711862	42.26558367	6.99
101.55064809	-37.77534788	6.15
101.55896951	59.44169108	4.89
101.56028979	79.56627808	5.55
101.60759109	-19.87790100	6.91
101.63507823	8.58716910	5.86
101.63755207	-14.52375613	6.72
101.66259605	-10.10736196	5.65
101.67373429	-54.69506225	6.61
101.68474593	43.57702483	5.37
101.70553584	16.77249110	6.92
101.70622699	57.16927050	5.50
101.71289080	-14.42599569	5.28
101.71955730	-51.26544940	5.53
101.74383218	-87.02497454	6.56
101.75621912	-21.01541689	6.01
101.82795802	-55.54004918	5.71
101.83268467	8.03728277	4.92
101.83919491	-37.92967246	5.25
101.84493757	-48.56366191	6.99
101.84773812	18.19355653	6.38
101.90509833	-8.99850109	5.16
101.91491974	48.78946087	5.39
101.94796366	21.69157348	6.90
101.96523679	2.41218914	4.65
102.04807134	-61.94197988	3.31
102.05096806	55.70444959	5.65
102.07953302	-1.31883901	5.82
102.08983092	-7.75460987	6.87
102.20516526	-34.93682492	6.91
102.21075832	-29.74367063	6.95
102.24057628	-15.14471091	5.36
102.26523768	1.00207185	6.12
102.28578564	23.20193732	6.81
102.29248605	27.19048634	6.72
102.31839228	-2.27202783	5.73
102.38251855	-32.54218415	6.83
102.42224358	32.60687904	5.88
102.43012659	25.48445522	6.95
102.43333940	-24.07603332	6.33
102.43457913	37.51273042	6.61
102.45768904	16.20291318	5.82
102.46027285	-32.50848752	3.46
102.46381712	-53.62249221	4.57
102.47757095	-46.61547007	5.24
102.48390349	-50.61439973	3.11
102.49039986	-45.45025944	6.66
102.50420544	-60.24940871	6.21
102.50909074	12.05813815	6.86
102.52487686	-27.33397761	6.98
102.55146553	5.67350105	6.85
102.56949863	-17.29192313	6.64
102.59072133	-17.08455798	5.92
102.59729100	-31.70609416	5.76
102.60536348	-69.98622227	6.96
102.60624923	13.41319516	5.86
102.65400772	-25.77840876	6.26
102.67628645	-8.04100355	6.32
102.68027184	-4.26620930	6.85
102.69151315	41.78156548	5.15
102.70757903	-0.54042726	5.87
102.71812209	-34.36732059	5.17
102.73786720	67.57192306	5.08
102.86241294	-70.96347336	5.37
102.88568011	-48.29272906	6.58
102.88770733	21.76123162	5.28
102.88917145	-6.96652374	6.60
102.89913412	9.44012798	6.99
102.91405812	3.04206333	6.40
102.92173507	-2.40271589	6.80
102.92687429	-36.23012600	6.00
102.94063899	5.08441060	6.92
102.94698942	86.68459703	6.76
102.96592783	-2.17603329	6.97
102.99252755	25.66297957	6.80
103.00004886	23.60174256	5.81
103.07653738	-5.17370508	6.72
103.09530858	-5.31624393	6.46
103.16514650	-42.50439893	6.61
103.18933679	-59.34128772	6.48
103.19593950	-54.09035638	6.73
103.19640231	-43.97560689	6.44
103.19725030	33.96136985	3.64
103.20619730	8.38044841	5.83
103.25127657	-26.95747344	6.24
103.25588612	38.86913968	6.19
103.26475164	35.78800835	6.17
103.27109036	59.44865494	5.48
103.28156090	44.84008268	6.31
103.30570458	38.43844844	6.43
103.32851233	-19.03277877	5.73
103.34102903	-18.93292926	6.19
103.34207027	-24.68435217	6.56
103.34333787	10.99694209	6.46
103.38712732	-20.22426366	4.75
103.39064640	-28.53872019	6.18
103.42600463	68.88829173	5.07
103.48106510	-24.53875948	6.24
103.48780858	38.50508594	6.45
103.50962353	-50.61214118	6.40
103.53159718	32.51139769	6.96
103.53314518	-24.18422296	4.00
103.53582454	-5.85220154	6.45
103.54783633	-12.03859273	4.21
103.55436047	-23.92834798	6.64
103.58379588	-31.80162506	6.83
103.58877565	21.16146391	6.68
103.60273751	-1.12696090	5.50
103.61118619	-42.36561926	6.34
103.66080771	13.17801628	4.73
103.66576734	15.83797577	6.73
103.67517925	-1.75648542	6.30
103.67853817	24.24579282	6.97
103.73647621	21.57137242	6.98
103.74550117	-2.80358713	6.20
103.76140934	-20.40485094	5.82
103.81106808	43.91004808	6.24
103.81338898	45.82658764	6.48
103.82787799	25.37563643	5.88
103.88310653	37.91543849	6.89
103.88705526	-22.03746336	6.72
103.89428792	8.32428996	6.29
103.90582904	-20.13659348	4.75
103.94554133	-22.94144950	5.25
103.97824254	-31.79019560	6.31
104.02769490	-14.04344644	5.12
104.03427636	-17.05424675	4.37
104.06662140	-48.72116448	5.02
104.06890850	17.73723949	6.92
104.10767805	9.95659959	5.88
104.13358487	46.27398621	5.83
104.14366809	-79.42018913	5.47
104.14592739	-8.33372390	6.99
104.19043191	-35.34134788	6.43
104.23387146	46.70553754	6.05
104.24914413	24.64285883	7.00
104.25040195	-8.17926621	6.45
104.25223594	33.68103629	6.07
104.25722774	-19.43879262	6.75
104.28910004	-10.82446268	6.97
104.30468454	57.56324900	6.15
104.31153292	-22.20287436	6.57
104.31916052	58.42305973	4.50
104.32338804	-35.50720085	6.33
104.32709140	37.39473253	6.51
104.35661187	11.90756140	6.36
104.39153761	-24.63105594	5.54
104.40468738	45.09410202	4.92
104.42765274	-27.53752364	6.17
104.49585865	-10.78591706	6.86
104.50287191	-46.09589246	6.82
104.52964489	-9.02731096	6.99
104.53147991	-27.16439185	6.30
104.53555537	-10.31572506	6.73
104.60460729	-34.11172588	5.02
104.64900139	-23.88086360	6.74
104.64959747	-25.41416976	5.54
104.65163880	-56.39476607	6.55
104.65644451	-28.97208931	1.42
104.66221582	7.62235151	6.30
104.66587384	-55.72892565	6.42
104.67392127	-45.76758269	6.23
104.68210351	-30.99805276	6.36
104.69798197	26.08085056	6.31
104.73761182	3.60236429	6.13
104.75176078	-32.72226518	6.92
104.76199195	38.05261545	6.18
104.83388245	42.31478161	6.73
104.83408286	7.31698612	6.31
104.86639602	25.91418673	6.37
104.91356967	-21.60289593	6.20
104.92306572	-33.47575413	6.69
104.93519104	52.57247337	6.81
104.96074141	-67.91701197	5.33
104.99938315	-61.33682491	6.96
105.01603320	76.97744152	4.70
105.03452285	-20.15843758	6.28
105.04066623	-31.14177272	6.71
105.06593512	16.07900547	5.84
105.07532192	15.53528821	6.82
105.07543371	-5.36735720	6.41
105.08068707	-22.11906969	6.47
105.08715087	67.33066173	6.69
105.09841972	-49.13500356	6.72
105.09900277	-8.40682482	5.93
105.09941917	15.28812536	6.85
105.10411755	1.93152066	6.72
105.14620965	-20.64029046	6.79
105.16391260	-9.20297055	6.55
105.17719800	-28.48947369	6.38
105.20724583	-33.46572030	6.56
105.21460498	-51.40263360	5.23
105.21667736	-19.44440514	7.00
105.24427607	10.62509155	6.95
105.27157418	-58.94029633	6.09
105.27478853	-25.21564581	5.58
105.29105679	11.77463710	6.82
105.30669354	-25.94881574	6.85
105.30671912	54.85675967	6.91
105.32092169	32.41460608	6.63
105.33914914	70.80833421	5.85
105.39003791	-27.22295272	6.89
105.41502903	-23.50144054	6.84
105.42267559	4.81809882	6.66
105.42979876	-27.93484165	3.58
105.43835748	69.64645329	6.80
105.44673865	-35.54793668	6.52
105.45630240	-11.30093428	6.55
105.45800743	-10.88237424	6.75
105.47045579	-1.34578762	6.36
105.48025897	5.55716475	6.59
105.48497076	-5.72208135	5.30
105.48723236	63.67697004	6.73
105.52805013	-3.75482839	6.66
105.53163771	-6.02233823	6.96
105.56449056	-43.40386918	6.44
105.57287660	15.33606893	5.95
105.58591034	-42.63249966	6.97
105.60326930	24.21544652	5.35
105.60634028	17.75545510	5.98
105.63872677	16.67446500	5.94
105.69069162	-49.92800951	6.88
105.70567812	-16.69936670	6.94
105.72824798	-4.23923814	4.92
105.75613986	-23.83330131	3.00
105.81295570	-59.17813539	5.46
105.82470567	9.13834729	6.01
105.85253058	-52.42536561	6.50
105.87647681	29.33909345	6.06
105.90863811	10.95184577	5.29
105.92881287	-25.08392110	6.80
105.93955493	-15.63325876	4.07
105.96501258	12.59425915	6.12
105.97356647	-49.58425759	4.98
105.98916816	-43.60898397	5.70
105.98941087	-10.12376711	6.43
106.01169961	-42.33745341	5.26
106.01468569	36.31353629	6.85
106.02187558	-5.32397100	5.79
106.02723079	20.57029939	4.17
106.07124717	37.56399059	6.75
106.07632905	-56.74973130	5.14
106.08407219	1.48850326	6.59
106.19601008	-22.03160173	6.25
106.22338827	-20.83009720	7.00
106.27539531	-21.45026144	6.85
106.28745032	47.77504347	6.36
106.31830326	-50.36013794	6.60
106.32654307	22.63748109	6.00
106.38353593	-34.77779761	6.24
106.38635618	-40.64054547	6.89
106.41250410	9.18583678	5.89
106.41594546	52.75868505	6.21
106.44689428	31.39328075	6.71
106.45684067	-10.66008280	6.48
106.46506343	70.73194016	6.61
106.50205197	-30.65572890	6.29
106.50504379	59.80185721	6.57
106.50941790	-38.38288828	6.23
106.54845981	34.47408682	5.71
106.55959722	-68.83757671	6.64
106.58720085	-43.61078123	6.53
106.64986453	-12.39395311	6.45
106.66986950	-11.29401875	5.41
106.71868219	-24.96058078	6.24
106.74996075	-26.65676332	6.55
106.77700298	4.91059836	6.06
106.77952459	-40.89329560	5.75
106.80542082	-51.96838790	6.12
106.81784892	-59.71643858	6.42
106.82050534	24.16849121	6.81
106.84338053	34.00936165	6.07
106.84412120	-23.84073435	5.72
106.85367604	28.17669553	6.45
106.86596575	-52.20467501	6.75
106.95618723	7.47129491	5.91
106.98694887	-4.67787594	6.99
107.01433246	-11.92328376	6.65
107.02626651	44.03999642	6.98
107.02770868	-57.33120462	6.95
107.05532498	33.83245659	6.46
107.09120548	-20.85936003	6.96
107.09184320	15.93092642	5.64
107.09785853	-26.39320776	1.96
107.15103117	37.44513204	6.36
107.17642280	-70.49734046	5.78
107.18676883	-70.49919435	3.93
107.20585434	-24.04380025	6.58
107.21281817	-39.65567374	4.77
107.21846523	33.93391665	6.67
107.24223519	-45.33132620	7.00
107.33437727	-10.34657429	6.23
107.35402071	-60.38047213	6.98
107.35716310	36.56329092	6.74
107.38902350	-16.23450762	6.06
107.40743197	60.79220478	6.81
107.42928078	-25.23104384	5.63
107.46261522	9.30891208	6.84
107.46745475	-16.23472715	6.70
107.49136950	7.72466153	6.77
107.52828376	21.24813537	6.57
107.53898709	-18.68559657	6.33
107.55700787	-4.23763568	5.08
107.58052770	-27.49152460	5.62
107.69791141	-48.93257706	5.28
107.76274605	-3.89799535	6.67
107.78496505	30.24528065	4.56
107.79821122	3.19163121	6.89
107.82061267	-70.11966254	6.93
107.83724594	-21.80329432	6.73
107.84428053	-39.10221559	6.92
107.84616679	26.85666896	5.80
107.84846508	-0.30190562	5.51
107.85490913	-17.33113549	6.66
107.87499739	26.40594388	6.87
107.91371845	39.32054373	5.04
107.92337859	-20.88311563	5.83
107.94517387	16.97642385	6.64
107.96412663	5.65471549	6.07
107.96608486	-0.49278056	4.15
107.98113942	-56.15561762	6.83
107.98758517	49.78989521	6.75
108.00455795	43.84304281	6.90
108.00825571	-63.19005410	6.03
108.01716282	-30.82142072	6.17
108.02248700	-27.33495598	6.87
108.03126799	5.47436198	6.31
108.05090950	-25.94260947	5.86
