RA	DEC	MAG	DIST	B-V
5.30549230	-8.28117086	9.34	23.03	1.354
5.33150549	-45.74443728	10.47	17.96	1.475
5.39830258	-66.47672144	9.79	43.07	0.835
5.40633478	-46.09173618	12.24	19.96	1.537
5.48333925	-31.40558641	11.18	18.21	1.485
5.59779902	-27.03160232	8.45	22.44	0.888
5.60455120	6.66810871	11.31	49.36	1.470
5.64495308	-73.03224385	8.73	44.39	0.769
5.71480399	-12.20958506	6.52	20.39	0.659
5.73599468	-52.52522409	9.97	43.61	0.848
5.75033827	22.37553791	7.71	40.52	0.639
5.77034239	-65.12101551	8.00	46.17	0.579
5.81659898	-33.16783230	8.88	22.24	1.075
5.82507861	-50.89387237	11.92	21.10	1.516
5.87929684	77.18918134	11.30	19.72	1.462
5.90706384	-3.76335753	10.79	47.85	1.099
5.91313965	43.64723639	8.81	44.15	0.709
5.94775648	-36.86120296	10.72	42.11	1.258
6.03694809	-62.18441260	11.41	46.32	1.390
6.09100626	-24.84827512	9.69	48.05	0.904
6.10623866	-27.02697608	8.06	18.01	0.940
6.17641442	-53.98392993	7.41	27.66	0.681
6.18462337	-51.04324736	6.94	34.59	0.596
6.25639070	-30.69702511	7.70	48.90	0.616
6.26681860	45.68902231	9.73	42.07	1.060
6.28540806	48.04745932	7.65	42.21	0.629
6.31064783	-61.51327008	11.48	37.47	1.350
6.41334183	-77.25503511	2.93	7.47	0.618
6.55048418	-43.67990933	3.99	23.52	0.175
6.57028075	-42.30512197	2.55	23.73	1.083
6.66796380	30.19982954	10.18	44.80	1.000
6.72057388	70.14277688	10.59	16.29	1.459
6.93039386	-32.38721604	9.16	46.04	0.745
6.95739605	-6.48384114	11.70	47.46	1.229
7.08346734	10.19034140	6.15	36.35	0.447
7.08820670	-20.33477667	6.56	32.25	0.594
7.14384042	-16.22578934	9.73	37.54	1.128
7.29211933	-50.61157574	8.60	48.54	0.748
7.36855475	-11.01701602	9.48	43.92	0.840
7.42764334	20.30144884	10.11	49.38	0.570
7.46586901	-14.86402653	6.24	42.34	0.388
7.54430960	54.46332826	10.31	39.94	1.080
7.57526279	7.17913649	10.82	49.63	1.066
7.60822774	-48.21469821	5.75	45.07	0.367
7.62873789	22.76941622	9.34	34.08	0.930
7.68983095	47.53000544	7.87	47.82	0.652
7.72581643	77.01948785	6.34	39.42	0.883
7.72954364	73.37047110	10.73	27.50	1.359
7.80170012	69.78543643	7.48	41.75	0.504
7.88566992	-62.95808549	4.33	42.83	-0.064
8.03376796	-5.17864035	8.69	46.73	0.840
8.06139856	-63.09101331	9.73	25.74	1.367
8.11171615	67.23621544	10.35	10.13	1.520
8.18247614	-63.03137868	5.09	46.47	0.038
8.27211859	42.00110936	11.04	34.18	1.311
8.43270424	-35.00082229	6.54	36.19	0.617
8.61338867	-6.50369569	7.01	41.51	0.481
8.61506261	-52.37318294	5.68	25.62	0.472
8.62236013	47.91539661	7.50	47.17	0.549
8.69614733	26.06594227	9.61	37.06	1.000
8.71288230	-61.91601812	9.70	45.91	1.050
8.73942158	4.38188851	9.11	45.11	0.827
8.75416804	42.69495016	8.16	28.97	0.870
8.75687799	-63.69382810	8.69	29.38	0.854
8.80717832	51.83850877	7.50	43.73	0.602
8.81100390	-3.59275785	5.32	21.05	0.567
8.89236491	-39.74588990	7.59	29.15	0.726
8.90829835	79.25914588	9.45	48.12	0.780
8.92139531	-48.00066027	5.61	36.22	0.461
8.96750287	29.23785059	8.50	47.10	0.648
8.97085680	12.59740149	11.37	41.98	1.310
8.97867189	13.20750244	6.43	37.61	0.517
9.00045445	-9.51421249	11.30	35.08	1.392
9.00717370	-5.57045671	6.82	47.19	0.466
9.01693123	-49.12780855	8.54	43.08	0.780
9.02876061	-22.84221094	6.14	49.70	0.297
9.15680392	-49.13200111	6.92	43.88	0.639
9.33244613	-24.76722545	5.71	15.53	0.715
9.34217573	-37.28798048	7.13	44.86	0.723
9.48706616	47.40791719	7.64	47.80	0.463
9.56130273	84.67502086	7.23	40.32	0.554
9.56400804	52.33242473	10.57	23.04	1.424
9.63821988	-12.17262517	9.35	41.63	0.846
9.69033976	-85.41237038	7.88	37.85	0.754
9.80336453	3.13320203	7.48	45.89	0.633
9.83165567	30.86122579	3.43	31.07	1.268
9.84206107	21.25137390	6.03	11.11	0.850
9.91921008	11.53230972	7.54	49.65	0.538
9.92439887	10.65428197	10.60	32.77	1.143
9.93497867	-26.46595942	10.30	40.44	1.278
9.94897859	82.49357470	6.50	32.31	0.551
9.98996521	-33.96118617	6.79	41.46	0.519
9.99346024	-44.25267874	11.48	22.91	1.476
10.10273354	-59.45568115	6.02	25.47	0.564
10.13501584	-23.80399309	6.28	28.56	0.718
10.18239757	-49.59175247	8.92	43.31	0.747
10.19784263	-7.23238377	7.11	25.87	0.620
10.20415817	40.18879925	7.50	17.27	0.937
10.21444826	-53.20980159	7.48	45.64	0.539
10.28196824	19.25461642	10.03	49.31	0.930
10.29977784	9.35530818	6.64	33.34	0.528
10.31330599	-52.31720615	10.95	43.57	1.270
10.35092555	-13.17231358	10.83	33.26	1.176
10.37798776	-33.62495401	10.63	19.88	1.432
10.39382484	65.86836175	7.07	47.64	0.579
10.50597309	40.68841020	7.13	49.07	0.452
10.61790472	-65.46813002	5.49	40.67	0.515
10.63870224	-54.11961581	8.77	41.60	0.772
10.64564110	-54.11737187	8.59	32.45	0.848
10.70025783	35.54860264	10.47	23.79	1.460
10.71149682	-9.92163939	6.75	40.85	0.529
10.73544215	22.65957407	11.62	28.11	1.440
10.80233084	-37.98235299	8.03	44.05	0.716
10.88750898	33.84543280	8.84	20.76	1.130
10.89678452	-17.98668410	2.21	29.38	1.019
10.92235496	23.88575655	11.04	42.34	1.320
11.11019153	-26.51604473	7.92	32.70	0.664
11.15409524	-18.94716716	10.84	33.81	1.406
11.16268466	-65.64771794	6.68	21.85	0.655
11.18515547	-22.00633247	5.30	27.84	0.350
11.19905823	67.15832122	7.01	45.87	0.492
11.24883557	-53.71490037	6.27	45.27	0.524
