RA	DEC	MAG	DIST	B-V
50.82374810	-7.79356443	6.34	36.91	0.702
50.88912681	43.95809928	9.11	25.58	0.980
50.89679270	-40.07649183	7.05	17.09	0.840
50.90253585	-81.25951257	12.09	47.04	0.000
51.02642250	23.78534067	10.51	19.79	1.510
51.11928686	6.98509043	10.42	40.49	1.280
51.24944102	-5.36188736	8.00	15.12	1.153
51.37970897	-6.69547933	9.69	46.79	0.940
51.40105611	-69.33659399	6.05	39.29	0.415
51.41432881	-42.98635674	11.35	24.89	1.439
51.54570775	-30.61836290	8.02	31.37	0.716
51.64088817	-53.16212447	9.87	47.82	0.865
51.74482544	-63.49849914	8.23	16.37	1.130
51.80085343	-58.32391044	8.10	32.31	0.761
51.81004171	27.38588004	11.77	27.23	1.476
51.82790268	-36.26159501	9.80	39.62	0.970
51.96697135	-19.80522105	8.49	12.62	1.337
52.00877986	22.02385871	11.46	41.03	1.411
52.08697465	-6.53044612	8.36	45.50	0.619
52.15001829	-30.56752120	10.42	40.80	0.603
52.21798939	37.38503584	11.20	25.52	1.314
52.26609285	1.66872788	11.92	47.17	1.395
52.33233109	-11.67762800	10.08	21.66	1.403
52.34244352	-62.93843436	4.80	21.44	0.410
52.34472201	-24.10109865	9.29	31.70	1.020
52.55661496	-41.36951768	6.23	34.09	0.489
52.60787277	-22.04859814	10.53	49.68	0.000
52.62638571	20.10341671	8.43	46.27	0.739
52.65868013	40.31944909	9.71	45.07	0.910
52.66689587	-19.43556805	7.59	42.09	0.666
52.71036276	-37.37223860	7.83	39.82	0.591
52.71863957	-62.00798965	6.90	47.06	0.534
52.81455616	20.76854985	8.22	49.90	0.680
52.94631242	14.32323236	12.31	24.00	1.550
53.04777452	-8.12948154	10.67	47.42	1.067
53.10960058	46.05704336	5.40	36.42	0.398
53.16592590	35.65943530	7.40	48.90	0.503
53.20823163	23.69228308	9.02	43.90	0.844
53.23380442	-44.70227047	11.51	10.86	1.560
53.23509009	-9.45830584	3.87	3.22	0.881
53.24878887	-67.41930700	7.59	48.92	0.521
53.30545225	7.45303427	11.30	33.62	1.371
53.30597056	46.25780038	8.29	33.77	0.800
53.36098964	59.41750910	8.22	32.13	0.871
53.43857096	-15.12758867	7.15	49.85	0.455
53.48672231	-31.08030021	6.31	42.48	0.482
53.53466813	17.83358303	6.31	42.43	0.891
53.55144734	73.57548098	10.35	48.03	1.200
53.68840879	-62.45702370	9.58	40.72	0.900
53.74793118	34.61139362	11.00	42.96	1.225
53.75243400	-48.41988884	8.68	13.36	1.310
53.86007132	35.47992243	8.60	37.41	0.984
53.99714852	-23.51803212	8.99	46.84	0.784
54.00136742	8.76013760	12.53	43.59	1.444
54.01396137	16.46808013	7.78	44.94	0.580
54.19711994	0.58815498	5.96	28.97	0.885
54.21882896	0.40283316	4.41	13.72	0.575
54.22217845	-49.95801756	7.75	41.67	0.592
54.23537711	-28.13704401	11.07	42.27	0.000
54.24229777	-28.13086406	9.00	49.07	0.730
54.29534916	25.99175641	7.42	37.34	0.704
54.39535518	21.34324066	9.50	39.64	0.917
54.47635992	-2.51170645	9.73	43.46	0.965
54.72627928	42.39372844	9.12	49.41	0.810
54.73891587	42.53859836	6.86	42.35	0.614
54.74475769	0.79656988	8.81	48.69	0.706
54.75469049	-5.62570656	6.11	35.16	0.921
54.88950964	18.38538271	8.39	36.79	0.810
54.93034384	-52.91561462	7.24	34.60	0.583
54.95411969	33.47343115	9.19	49.93	1.090
54.99435196	63.87076052	6.98	43.61	0.478
55.02169771	63.87494842	8.43	41.81	0.818
55.03016874	34.11646037	6.88	45.70	0.543
55.09025656	-3.21646054	6.80	24.35	0.554
55.12209173	-47.92538868	9.69	25.10	1.267
55.14302139	-2.21995947	9.68	38.10	1.025
55.19672534	-2.33214712	7.11	44.88	0.954
55.20112570	-81.78962263	8.79	49.29	0.692
55.20624087	31.82651813	8.92	31.79	0.845
55.29394467	3.61195407	9.71	25.08	1.360
55.30624105	75.39936585	9.58	46.51	1.100
55.31653531	45.89582949	8.07	49.09	0.665
55.40491007	55.21884753	11.28	37.26	1.427
55.43531081	-51.42577997	9.15	37.71	1.089
55.46053888	-62.76696977	9.86	39.11	1.013
55.46580826	-10.69721737	8.39	29.48	0.751
55.49622425	-24.65215153	6.88	40.63	0.506
55.50175295	46.68876903	11.96	43.33	0.461
55.54131805	-45.95792132	6.62	39.39	0.522
55.65401136	17.29342647	7.21	25.81	0.659
55.68608585	-24.46541637	9.31	25.93	1.128
55.76929955	-50.64429882	7.08	36.67	0.511
55.77641937	-12.89441202	10.99	30.35	1.339
55.81231706	-9.76519868	3.68	9.04	0.915
55.89099355	-10.48561144	5.66	42.92	0.216
55.91309855	-61.27013079	10.73	42.25	1.230
55.93813416	16.66802202	10.84	16.29	1.470
55.94752907	42.60398732	7.61	42.63	0.583
55.96861637	16.67279765	10.00	17.21	1.420
55.97979823	-19.11127994	7.24	14.05	0.927
56.03757350	-38.28247293	7.14	16.23	0.870
56.04814541	-64.80709398	4.00	30.57	1.133
56.12835687	34.97351981	10.74	25.95	1.380
56.16440976	10.17850521	8.76	49.00	0.660
56.18938808	-38.81814079	7.63	44.03	0.587
56.20246696	46.03608464	7.86	26.61	0.864
56.21224201	11.91969372	9.23	21.80	1.179
56.31628821	-60.90998511	11.02	43.42	1.130
56.34967157	-27.86282003	8.33	21.76	1.012
56.58286876	26.21598281	9.68	14.57	1.437
56.62585328	-22.30057678	11.26	45.11	0.000
56.71245432	-23.24843800	4.32	17.92	0.434
56.75687379	41.43027841	7.79	24.49	0.796
56.83276739	-29.90158791	6.65	38.48	0.509
56.84681692	-1.97154152	11.60	16.27	1.511
56.92005845	39.16038643	10.32	37.89	1.200
56.97630559	52.46818659	9.97	46.08	0.956
56.99303501	2.78885403	11.13	17.36	1.495
57.00276867	-64.83682576	7.99	42.28	0.658
57.00347701	68.67228707	9.28	17.38	1.314
57.00558859	68.67688918	9.45	17.38	1.530
57.04900068	7.14622798	10.93	41.63	1.340
57.12467310	57.76762299	8.63	49.21	0.648
57.13699453	15.20221478	9.61	35.20	1.080
57.14926223	-37.62012878	4.27	49.43	-0.038
57.16272768	-6.81581061	8.14	43.61	0.611
57.29863293	-17.97145736	8.66	37.95	0.747
57.39776783	1.34974167	8.72	33.38	0.822
57.43267263	-13.88642827	9.03	46.08	0.817
57.51401484	22.59178984	7.40	37.16	0.538
57.53688447	6.62078655	7.87	32.53	0.684
57.56710121	-1.52263503	6.57	45.00	0.435
57.58133377	-23.82858644	9.94	29.64	1.223
57.59540957	17.47697953	7.64	46.51	0.653
57.60370473	17.24656274	9.60	46.79	0.782
57.64050092	63.45571636	11.45	34.66	2.300
57.64721409	-42.56704861	8.76	26.70	0.913
57.76257314	23.90376782	10.33	40.45	1.160
57.93475124	44.95309357	11.68	46.71	1.194
57.98807587	-12.82624740	11.07	45.43	1.125
58.00114328	39.79581850	9.63	33.88	1.070
58.02277927	22.67245692	7.71	26.85	0.684
58.04781699	25.16347704	6.89	39.46	0.583
58.09537918	-22.88297082	11.51	23.76	1.523
58.29149356	17.32715595	6.05	41.43	0.354
58.33331726	-37.06378375	12.23	25.33	1.450
58.36331070	-41.22286801	7.34	41.39	0.530
58.56608960	8.55883272	12.00	40.63	1.460
58.59425396	1.26190420	8.10	45.19	0.631
58.61625430	16.61645599	6.95	20.68	0.719
58.64778859	-6.82729666	9.12	15.41	1.366
58.75567862	12.48561161	10.27	37.75	1.070
58.76380482	61.16740375	7.98	21.30	0.831
58.77671455	16.99853743	9.14	41.39	0.895
58.81739077	-12.09905104	6.09	49.00	0.323
58.82636608	-65.28490212	8.93	34.44	0.846
58.90497355	52.22655593	6.93	39.94	0.518
58.95562582	-4.52670309	7.17	48.69	0.500
59.04937079	59.64150046	6.67	21.39	0.698
59.11916193	-25.18066027	7.02	38.80	0.748
59.11923816	22.67496102	7.98	46.71	0.688
59.15138561	-41.34379460	8.97	17.64	1.214
59.15181574	50.69569169	5.38	40.80	0.425
59.19623146	53.56118489	10.99	34.21	1.430
59.21680322	22.47825021	5.70	44.82	0.345
59.37003110	-1.15911386	8.20	15.77	1.115
59.43269129	-20.26805400	9.01	38.61	0.899
59.44664805	22.92436790	8.92	36.08	0.000
59.48118307	-36.26017005	8.67	35.89	0.766
59.71842188	-5.46952376	6.00	43.71	1.001
59.91839435	10.33041083	6.45	39.34	0.417
60.11298584	-34.85009348	9.72	44.27	0.934
60.17230623	54.78659571	10.58	49.04	1.123
60.20285787	18.19406866	5.96	45.48	0.319
60.27492648	43.46104314	8.41	34.86	0.810
60.32839099	76.16070064	8.33	15.98	1.132
60.52562913	-36.61660278	9.34	42.96	0.867
60.61065476	-61.35720533	6.87	25.71	0.667
60.65273634	-0.26831052	5.49	19.23	0.516
60.74772307	9.20888472	7.01	44.05	0.466
60.78907003	5.98930909	3.92	39.62	0.032
60.80733764	35.27659465	8.64	18.47	0.863
60.82536170	-22.81505528	10.49	40.31	1.190
60.91235280	19.45509359	10.25	43.35	1.095
60.96109084	29.19802864	8.32	35.16	0.834
60.98543787	8.19720135	5.54	35.97	0.371
61.02910699	39.50995671	7.28	36.47	0.680
61.04078184	2.82725258	5.47	34.64	0.505
61.08444054	-4.65558342	9.67	41.27	0.816
61.12830821	0.24643554	8.46	45.96	0.769
61.33395641	22.00922152	6.04	16.73	0.620
61.40543294	-27.65203636	5.67	43.18	0.324
61.47616727	11.96612560	10.17	34.46	1.120
61.54702839	32.95288368	10.13	36.13	0.964
61.56689905	15.69816786	7.97	46.71	0.593
61.64503704	-20.85122581	9.80	23.51	1.206
61.75215574	29.00128762	5.30	27.58	0.359
61.75264311	-10.00011025	7.00	41.67	0.576
61.75479366	15.33507766	10.62	42.43	1.180
61.83651959	-27.42506912	8.65	45.89	0.832
61.83871877	-64.22310952	6.50	23.19	0.636
61.87108656	-52.57088584	8.73	34.88	0.944
61.89260309	38.07508767	7.27	20.58	0.865
61.92460942	15.16284328	6.09	47.01	0.397
62.06043794	44.66316182	7.84	29.91	0.725
62.06442382	37.72797171	6.23	44.13	0.943
62.11081699	12.19187175	11.37	40.16	1.327
62.12834643	12.33871981	8.73	32.13	0.900
62.14922867	-59.52653074	9.83	25.62	1.211
62.15206221	38.04022796	5.63	21.34	0.520
62.15429045	33.63673008	10.25	13.70	1.495
62.31102050	-53.37511256	11.86	14.97	1.480
62.34233945	54.82908817	6.35	47.42	0.448
62.36004536	-14.69834026	10.74	43.69	1.120
62.37055436	33.76707032	8.78	34.47	0.888
62.39549302	69.54211787	7.85	18.46	0.952
62.41171272	31.65195602	7.00	39.87	0.550
62.45524024	9.30550501	10.20	33.58	1.192
62.50093270	86.62635165	5.93	40.92	0.393
62.53078866	-61.59875505	7.28	40.78	0.551
62.55750940	17.36880246	9.21	33.47	1.070
62.59008263	12.07739896	8.25	41.93	0.741
62.67620064	18.42332910	6.70	43.07	0.427
62.69498771	-19.18442129	11.59	37.97	1.298
62.83414887	5.52303505	5.79	38.62	0.360
62.96638834	-6.83777870	4.13	38.49	0.327
62.98389231	23.63645851	9.54	36.75	1.090
63.17642696	70.20148712	9.83	25.88	1.216
63.38794242	7.71603410	5.37	36.98	0.366
63.48112878	82.91921119	10.90	34.67	1.424
63.50033880	-42.29387294	4.01	35.91	1.085
63.53978666	-46.13221353	6.90	44.90	0.577
63.57537130	12.34824549	6.88	35.74	0.677
63.60660991	14.62508304	8.58	45.64	0.693
63.61327492	12.43534652	8.18	45.07	0.640
63.62598058	3.02139704	8.93	33.31	0.943
63.63432646	23.57506214	8.18	46.10	0.657
63.64279178	10.70140049	7.22	47.44	0.514
63.71610149	13.05499937	10.82	44.11	1.204
63.74055357	-5.63069835	10.75	41.20	0.705
63.78948341	-4.41809253	9.46	20.43	1.209
63.79308298	14.39849914	11.63	31.31	1.363
63.80671344	76.28859756	8.32	26.41	0.840
63.82349230	-7.64455846	4.56	5.04	0.820
63.85769567	6.19992550	7.08	20.89	0.680
63.87027030	6.18712133	6.44	21.19	0.570
63.88417010	58.52280199	8.85	27.93	1.012
63.89006144	15.70632279	11.07	32.14	0.924
63.93761897	-45.96922234	9.06	48.85	0.764
63.94256020	15.40074874	6.40	44.42	0.400
63.98389879	-53.31077121	7.77	13.08	1.115
64.00621426	-51.48709578	4.33	20.30	0.312
64.06894650	7.15957076	7.63	34.86	0.661
64.07760579	8.72019341	9.96	37.75	1.148
64.12118133	-59.30174841	4.60	18.23	1.078
64.12615448	-0.57238523	8.19	40.31	0.669
64.13613292	36.50237672	8.40	25.59	0.918
64.17383394	-12.55691853	10.95	21.25	1.512
64.19339137	66.91068077	10.44	35.89	1.220
64.25762234	-40.79907627	10.48	39.05	1.602
64.27832781	22.67341977	9.89	32.72	1.230
64.31535896	20.57874033	5.00	28.68	0.259
64.33391571	-36.85030751	9.18	49.02	0.797
64.36520178	23.46915884	11.45	34.87	1.240
64.41196917	16.94791093	8.46	46.73	0.756
64.49315565	-38.42889449	9.02	39.02	1.052
64.50736633	18.25688078	7.66	45.79	0.681
64.57999804	16.08838854	9.72	49.98	0.980
64.58650052	20.36048023	10.61	39.29	1.285
64.61997039	-10.46173602	9.93	37.29	1.047
64.62354738	35.99252383	8.48	44.39	0.670
64.74126891	19.90678965	8.74	42.50	0.745
64.77374076	-4.14877633	10.60	28.44	1.654
64.78307834	17.52482183	8.60	47.08	0.721
64.90322073	12.62436876	9.95	49.68	0.924
64.93958945	-41.96004151	8.39	44.54	0.682
64.94805793	15.62770031	3.81	47.24	0.981
64.97826903	16.52267742	6.99	42.97	0.509
64.98796925	-4.43867332	7.98	35.87	0.673
64.99014508	14.03524954	5.65	44.82	0.283
64.99806964	36.48758798	11.54	23.11	1.450
65.04366237	-14.76134517	9.90	30.54	1.209
65.05373248	19.23356253	7.58	44.90	0.560
65.05948337	-9.03704071	9.95	31.01	1.120
65.10431578	18.74272543	6.19	47.35	0.404
65.15101968	15.09550358	5.32	47.17	0.225
65.19515966	-59.41149907	9.50	42.37	1.003
65.21940620	13.86447069	6.26	45.87	0.456
65.25146766	-35.85573936	10.76	28.00	1.385
65.35953961	-20.90182181	11.69	27.91	0.866
65.36949811	-20.91541053	8.91	36.42	0.939
65.39964854	48.33696228	9.76	30.69	1.166
65.51437351	14.07725051	5.80	45.72	0.315
65.68376513	15.05613981	7.09	46.62	0.518
65.68614403	16.79102888	7.99	37.09	0.677
65.69486195	-33.12244863	10.18	46.93	0.989
65.73344722	17.54258430	3.93	46.97	0.983
65.83391442	-25.39434745	7.95	40.16	0.627
65.84278238	21.37919012	8.98	48.47	0.758
65.85415980	16.77732694	5.71	47.24	0.310
65.85502034	15.76318700	10.59	47.44	1.231
65.87642041	24.40551168	7.28	49.90	0.462
65.88444721	14.67052187	9.25	47.10	0.855
65.97248467	-34.75591117	8.53	47.13	0.701
65.97642905	14.05215000	11.00	44.31	1.288
66.02372401	17.44421161	4.85	44.72	0.154
66.05133135	-57.07115747	6.41	27.09	0.659
66.05165805	14.75828842	7.71	44.94	0.604
66.06041707	21.73635708	7.24	40.87	0.518
66.11773850	16.88622603	7.92	48.24	0.599
66.13662461	50.84533116	6.99	48.33	0.456
66.15593384	33.95988843	5.85	41.67	0.400
66.19996915	15.87478173	11.76	40.97	1.408
66.23774871	19.04209230	6.06	49.02	0.378
66.25124467	11.97796391	8.55	47.62	0.639
66.28847164	-64.08085158	8.03	43.23	0.650
66.32957233	-44.16105659	6.48	37.04	0.457
66.34207825	22.29398098	4.26	47.01	0.136
66.34886891	-35.67540877	7.93	41.60	0.629
66.35393596	22.20011240	5.34	44.15	0.250
66.37215593	17.92798917	4.32	45.35	0.049
66.37860299	26.29244709	11.17	45.60	1.260
66.40522319	15.94108006	6.56	46.58	0.509
66.42420639	-2.23245765	7.38	41.91	0.200
66.44000768	-69.99369813	7.99	43.31	0.650
66.44787712	18.01735914	9.16	48.10	0.935
66.46524697	18.86414516	7.66	43.33	0.680
66.47894271	57.49527140	8.73	44.96	0.671
66.48867647	5.15013362	7.47	45.39	0.509
66.50865326	-6.18031131	9.88	49.33	0.870
66.57664484	22.81369394	4.36	47.46	0.263
66.57680549	21.47052306	7.48	46.43	0.557
66.58613217	15.61834620	4.55	47.94	0.262
66.60227009	16.85336496	8.17	45.96	0.651
66.60882502	52.50499074	8.19	46.17	0.657
66.60946903	-10.55067442	7.95	39.56	0.750
66.66072727	-28.95182755	8.93	38.97	0.841
66.66689131	16.74696616	8.24	46.69	0.664
66.67812098	12.68661875	10.58	35.37	1.358
66.70080047	10.87110965	9.58	43.42	1.033
66.72616515	13.13821629	10.62	45.81	1.146
66.76160828	25.70626582	12.08	38.88	1.470
66.77465426	-46.94683571	6.21	32.45	0.470
66.85264573	46.85388868	6.86	29.83	0.711
66.88274262	-17.10865643	8.54	47.85	1.000
66.89928112	15.58924926	7.53	45.81	0.537
66.94170443	11.73644954	7.62	47.21	0.560
66.96955288	24.44451029	9.55	41.58	0.894
67.00300662	21.62000558	5.79	47.96	0.270
67.01821661	13.86798498	9.17	46.97	0.839
67.14346805	15.96221721	4.00	48.40	0.952
67.15388879	19.18052092	3.70	47.53	1.014
67.15480244	19.74078200	8.76	49.78	0.741
67.16531219	15.87094680	3.46	45.68	0.179
67.16575346	26.22016660	11.07	40.00	1.389
67.20096632	17.28553719	7.96	47.42	0.609
67.20875444	13.04763905	5.08	49.19	0.215
67.21933786	30.36488163	8.32	46.60	0.750
67.24882218	16.15915391	6.69	48.59	0.536
67.25069146	21.92227514	8.42	11.47	1.363
67.33537074	17.54501189	7.13	43.01	0.526
67.37619058	17.86324256	7.00	46.32	0.451
67.38141803	17.89326307	9.08	41.34	0.831
67.43713116	-29.02636695	10.89	8.29	0.646
67.49026205	16.67290921	9.23	40.47	0.865
67.53555351	15.63789864	5.65	43.61	0.324
67.55216585	5.29852669	9.97	11.80	0.600
67.56951172	0.98005142	10.61	28.15	1.364
67.58318492	28.13177220	6.66	39.71	0.722
67.63987124	16.19407556	4.83	44.37	0.170
67.65541066	13.72445018	5.47	45.79	0.263
67.66177772	15.69193829	5.54	44.35	0.258
67.69473555	16.14875140	6.60	41.19	0.428
67.73796015	10.75179367	7.14	43.55	0.472
67.78807360	-13.51410060	11.61	20.11	0.000
67.79185895	58.98205252	10.79	5.51	1.170
67.81511694	20.13326396	8.73	45.85	0.734
67.81879223	25.03061256	8.69	36.01	0.803
67.90432476	17.70985241	9.69	42.72	0.987
67.94934519	14.15496082	10.42	35.26	0.432
67.96538757	15.85163870	6.09	44.94	0.338
68.01975915	5.41001999	6.46	43.23	0.420
68.03294912	21.63236503	7.21	39.14	0.641
68.06422759	77.62428684	7.96	41.72	0.630
68.07179385	37.04326501	6.90	43.31	0.470
68.08947123	-5.03891942	7.75	36.97	0.683
68.12672641	4.13993098	11.21	41.60	1.510
68.17041354	34.13594913	10.97	39.98	1.270
68.24249481	-16.54257610	11.02	37.58	1.371
68.28897895	-36.94615167	8.88	25.04	0.990
68.37762290	-29.76583186	4.66	38.14	0.972
68.39208243	-62.82363051	5.95	46.00	1.028
68.40463599	21.15096365	10.80	40.03	1.237
68.42443980	19.01411670	10.82	47.48	1.197
68.44408500	13.25192686	6.71	43.86	0.429
68.46020928	5.38569734	8.07	26.79	0.779
68.46189659	14.84448749	4.72	46.75	0.255
68.47655589	64.63309430	7.89	27.53	0.759
68.49365197	15.16370338	8.64	41.63	0.847
68.50487356	-43.52451760	8.94	22.46	1.106
68.62553137	10.01658798	7.85	46.82	0.615
68.64686969	15.50468788	8.04	43.12	0.631
68.66070415	-35.65750571	7.75	27.87	0.776
68.72155700	39.14193954	9.07	37.40	0.955
68.82182733	23.04533388	9.05	43.31	0.770
68.83983732	-4.73597041	8.01	37.81	0.632
68.85037936	85.52700667	6.67	36.66	0.529
68.91347315	10.16091706	4.30	46.13	0.184
68.98000195	16.50976164	1.00	19.96	1.538
69.02353319	55.41298871	8.47	29.21	0.902
69.05810082	21.53664526	7.72	33.68	0.685
69.10736380	-82.58251749	9.62	43.46	0.865
69.12111497	23.34098574	6.11	44.25	0.380
69.16943714	15.86938453	6.74	43.50	0.442
69.20037606	27.13255130	8.23	17.85	1.104
69.22657739	-14.88632470	10.10	33.38	1.124
69.24295431	59.36696523	12.49	25.08	0.000
69.36321998	-33.30426729	10.31	34.95	1.000
69.38303886	15.14649776	7.66	42.48	0.597
69.40044421	-2.47339212	5.29	29.76	0.283
69.41931771	52.89476987	8.70	10.19	1.423
69.42500270	-11.03840438	10.38	11.08	1.505
69.43141762	41.61188670	8.48	43.12	0.747
69.46728677	60.67614221	7.91	29.55	0.710
69.53906817	16.03338888	5.86	45.54	0.312
69.53917371	12.51087423	4.31	45.89	0.122
69.54529558	-14.30358700	4.02	33.51	1.082
69.71343839	23.15010505	7.63	44.25	0.576
69.73855140	14.10563192	8.09	48.05	0.655
69.78832206	15.80003442	5.13	46.53	0.141
69.81854938	15.91802420	4.72	48.76	0.147
69.88162389	-45.12344311	9.02	44.76	0.910
69.92757018	9.87298087	9.32	28.40	1.018
69.96212962	12.72851730	10.16	41.75	1.073
69.99219451	-71.50552959	7.90	37.85	0.747
70.00533588	-31.07571886	11.19	29.90	0.000
70.05064230	67.58910934	10.92	44.03	1.254
70.07383679	-58.94433445	6.67	30.96	0.677
70.10589116	16.51373414	9.59	42.28	1.096
70.12219150	-9.19583388	10.34	20.17	1.490
70.14092957	-41.86357034	4.53	20.13	0.342
70.17684545	-28.20055160	7.88	40.65	0.621
70.32917244	20.90213088	8.22	13.49	1.092
70.39956712	42.11948366	7.40	28.32	0.633
70.45865407	38.28042013	6.10	31.22	0.593
70.51435953	-37.14476616	5.13	27.65	0.391
70.52196312	-33.91909676	10.07	30.61	1.199
70.56710257	57.70882819	11.45	32.51	1.430
70.70706374	66.73559432	8.43	36.30	0.710
70.71517818	18.72065703	7.25	43.05	0.677
70.73070762	18.96088078	10.00	9.42	1.523
70.73562650	-44.19527119	10.11	34.41	1.197
70.75569964	18.71187127	10.02	47.39	1.122
70.80680650	-54.59294392	7.75	27.22	0.746
70.80728108	24.08896447	6.27	49.93	0.544
70.88201528	11.16665272	10.42	46.55	1.160
70.89750181	27.68804625	8.14	22.35	0.907
70.90135808	-15.80460310	10.10	48.97	0.950
70.95658458	-48.32764221	7.01	43.14	0.498
71.04613416	46.96566529	8.92	48.88	0.700
71.10737323	11.14616933	5.46	48.24	0.251
71.14089658	-16.06510966	7.65	46.93	0.541
71.17409863	-37.12100310	9.68	30.42	0.950
71.20099661	5.28953834	8.25	42.68	0.864
71.41241147	-43.89716449	9.03	29.69	0.955
71.41243863	-50.07341040	7.73	20.45	0.875
71.45264866	74.24399668	11.98	48.36	0.000
71.47472303	-48.03541947	9.36	47.10	0.825
71.50160938	76.61137327	6.57	32.23	0.512
71.56860663	3.26870425	7.95	32.14	0.679
71.57807963	3.63630430	11.02	44.54	1.277
71.58735870	44.89037194	11.71	39.15	0.964
71.68968243	9.01746112	7.36	38.08	0.560
71.70581299	17.74840598	9.74	41.48	0.967
71.82574342	45.98647443	10.26	41.55	0.800
71.90088443	-16.93486728	5.62	13.32	0.632
71.92386071	26.15043249	10.72	45.31	1.174
71.96065043	-40.44589703	9.42	37.95	0.974
72.00090298	56.75753919	5.35	49.70	0.246
72.00455258	-10.93338106	9.61	26.11	1.135
72.11521571	2.71513834	6.67	47.55	0.846
72.13553607	-16.32958093	5.88	41.56	0.537
72.15084320	-5.67343877	5.90	26.50	0.631
72.17509246	18.71036592	7.09	30.76	0.618
72.20942983	75.94154357	6.04	45.62	0.283
72.24169902	-28.72410154	9.09	44.44	0.774
72.26446034	18.64133790	9.12	46.77	0.833
72.30527795	-31.42653624	8.01	42.96	0.676
72.38697629	-14.78888051	10.96	25.70	1.421
72.40384235	-53.88207928	7.78	29.33	0.846
72.42631902	-13.76924994	6.37	35.36	0.456
72.45890935	6.96124744	3.29	8.03	0.484
72.46812665	-35.10735332	7.64	17.99	0.901
72.59944989	17.20273764	7.22	43.55	0.563
72.60335897	63.33342400	9.98	23.48	1.330
72.63706679	-85.37507484	8.26	43.10	0.614
72.64067864	15.08350373	7.87	42.30	0.740
72.73077622	-53.46172112	5.67	37.08	0.341
72.73574565	-53.45990399	6.59	32.07	0.483
72.80200557	11.06804697	6.87	49.63	0.543
72.81990611	32.89023121	9.40	48.69	0.860
72.83596730	-53.40608216	9.17	36.90	0.885
72.87261722	35.81542612	6.92	32.78	0.717
72.93017644	45.83553006	7.08	29.90	0.586
72.94072258	-35.84016512	8.29	31.80	0.766
72.95801730	13.65519410	6.37	41.82	0.502
72.98735308	66.49622492	8.22	41.77	0.770
73.02350646	6.47729317	11.93	12.12	1.590
73.05581661	44.97399031	9.39	29.57	1.120
73.08382327	-82.47637139	8.74	32.91	0.890
73.23241854	75.71052058	7.25	45.29	0.740
73.26932070	22.23548477	8.92	26.96	1.019
73.27389230	-72.40833805	6.40	32.53	0.521
73.37945078	-55.86048727	10.71	11.18	1.580
73.45720690	-17.77185260	10.93	12.36	1.547
73.48156597	-20.53950233	10.19	43.38	1.271
73.48419462	36.75740514	7.91	28.46	0.747
73.51716218	-35.40490066	7.74	25.96	0.792
73.72051578	-58.54781783	6.21	30.88	0.442
73.72376720	10.15114511	4.69	36.98	0.085
73.91010173	-23.24219539	7.62	38.01	0.606
73.92316948	20.00292146	8.13	35.61	0.800
73.92410720	-28.56336116	8.26	17.96	1.072
73.98251174	4.67087296	7.14	36.00	0.561
73.98605524	-30.85813101	10.14	43.57	1.146
74.04419263	2.93488748	8.57	39.22	0.837
74.06496636	24.59225291	6.41	43.20	0.351
74.10833529	64.40283469	8.91	36.94	0.985
74.27684030	24.75221241	8.74	45.27	0.714
74.49567684	34.26851179	8.29	33.09	0.750
74.55395495	40.05711487	7.32	47.53	0.496
74.57116069	0.45398946	7.34	33.50	0.705
74.60897584	-3.73300361	7.07	49.68	0.516
74.64910667	-9.33405665	8.06	43.23	0.581
74.68968885	50.94464233	11.05	19.41	1.432
74.71030549	49.84956222	9.88	16.53	1.413
74.75599103	-16.37633681	5.75	43.16	0.447
74.81406425	37.89048240	4.95	48.78	0.037
74.88303111	48.77986543	10.95	32.08	1.293
74.89504630	1.78375097	10.19	26.67	1.394
74.90287481	25.93606430	7.44	49.50	0.803
74.90846614	-10.98388084	9.92	35.17	1.180
74.93445971	15.91680509	6.85	43.31	0.450
75.04761617	-31.70178228	9.13	39.02	0.796
75.07284182	25.13642994	8.17	38.43	0.680
75.14071109	14.38368335	6.89	35.10	0.673
75.14136380	3.61581537	6.44	42.86	-0.053
75.16589851	-2.06602481	6.39	49.58	0.293
75.17526738	30.89715945	11.01	40.55	1.243
75.19621515	-57.25725088	10.18	26.26	1.297
75.20282168	-5.75097923	6.36	8.81	1.049
75.21658194	61.12527033	10.16	45.43	1.036
75.22522373	77.77550443	7.83	49.80	0.560
75.31527912	-65.76854758	12.11	41.70	1.410
75.40009862	61.07843227	6.13	36.90	0.448
75.40603215	24.63722349	8.20	38.99	0.690
75.43443138	20.83007077	8.14	41.02	0.740
75.43448908	26.67106213	6.90	39.57	0.506
75.44302929	26.65066656	8.34	39.32	0.700
75.49494498	9.98331568	11.47	32.05	1.540
75.54074698	14.08254884	8.33	28.67	0.720
75.57128038	-56.08231511	7.15	22.25	0.636
75.58463004	13.91048443	7.64	38.46	0.615
75.61879215	-21.25610576	8.39	8.52	1.430
75.70302244	-49.15147328	5.47	26.18	0.421
75.70974597	66.82378884	6.31	27.95	0.509
75.77376699	21.59006170	4.68	49.98	0.155
75.83426652	-17.37245290	11.75	9.27	1.661
75.84052800	-23.25062977	9.38	26.36	1.281
75.84430666	53.13220642	10.03	14.02	1.389
75.87769937	63.07741788	8.05	31.49	0.660
75.88822036	63.08517472	7.74	31.33	0.710
75.97472974	-41.74533727	6.42	31.32	0.528
